,회사명,시기,지원분야,대학,계열,전공,학점,토익,토익스피킹,오픽,외국어,자격증,해외경험,인턴,수상내역,봉사
0,삼성전자㈜,2023년,해외영업,서울4년제,어문학계열,프랑스어학부,4,945점,-,IH,4개,-,1회,-,1회,2회
1,삼성전자㈜,2023년,생산·공정관리자,수도권4년제,공학계열,전자공학과,3.53,-,-,IH,-,2개,-,-,1회,6회
2,삼성전자㈜,2023년,소프트웨어개발자,수도권4년제,공학계열,컴퓨터공학과,3.83,945점,-,IM1,-,3개,-,3회,-,2회
3,삼성전자㈜,2023년,경영·비즈니스기획,서울4년제,공학계열,환경공학부,4.06,980점,AM,-,-,3개,1회,-,-,-
4,삼성전자㈜,2023년,설비엔지니어,지방4년제,공학계열,기계공학과,4.29,-,Lv6,-,-,2개,-,1회,-,-
5,삼성전자㈜,2022년,소프트웨어개발자,서울4년제,어문학계열,영어영문학,3.92,965점,-,IH,-,1개,1회,-,-,2회
6,삼성전자㈜,2022년,설비엔지니어,수도권4년제,공학계열,기계과,3.5,900점,-,13,-,2개,-,-,-,3회
7,삼성전자㈜,2022년,반도체엔지니어,지방4년제,공학계열,전자공학과,3.81,855점,-,IH,-,3개,-,-,1회,3회
8,삼성전자㈜,2022년,생산직종사자,고졸,-,,-,-,-,IM1,-,5개,-,-,-,2회
9,삼성전자㈜,2022년,반도체엔지니어,서울4년제,공학계열,전자전기공학부,3.6,-,-,IH,-,-,-,-,-,-
10,㈜우리은행,2023년,금융영업,서울4년제,상경계열,경영학과,3.6,855점,Lv5,-,-,2개,-,-,-,2회
11,㈜우리은행,2023년,금융영업,서울4년제,상경계열,경영학과,3.6,855점,Lv5,-,-,2개,-,-,-,2회
12,㈜우리은행,2023년,경영·비즈니스기획,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
13,㈜우리은행,2023년,소프트웨어개발자,서울4년제,어문학계열,영어영문학,3.92,965점,-,IH,-,1개,1회,-,-,2회
14,㈜우리은행,2023년,경영·비즈니스기획,서울4년제,사회과학계열,공공인재학부,4.07,815점,Lv6,-,-,1개,-,-,1회,-
15,㈜우리은행,2022년,금융영업,서울4년제,사회과학계열,아동가족학과,3.91,935점,-,IH,-,3개,-,-,1회,-
16,㈜우리은행,2021년,금융영업,서울4년제,사회과학계열,사회학과,4.14,925점,-,IM2,-,-,-,-,1회,1회
17,㈜우리은행,2021년,금융영업,서울4년제,상경계열,경제학과,3.96,900점,-,-,-,3개,-,-,-,-
18,㈜우리은행,2021년,금융영업,수도권4년제,상경계열,경제,3.75,705점,-,-,-,3개,-,2회,2회,4회
19,㈜우리은행,2021년,머신러닝엔지니어,서울4년제,상경계열,경제학과,3.6,850점,-,-,-,1개,-,-,-,-
20,신한은행,2023년,금융영업,서울4년제,상경계열,경영학부,3.8,930점,Lv6,-,-,-,-,-,-,2회
